ID,Data_base_Source,Continent,Country,Y,X,Eco_Name,BIOME_NAME,Biome,NNH_NAME,Coastal,Operating,Count,Combined,Mammals,Reptiles,Birds,Amphibians
217,Gunters_Space_Page,North America,USA,43.74818275,-87.70323135,Central US forest-grasslands transition,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Coastal,Operating,1,2,2,1,1,0
222,Gunters_Space_Page,Europe,USSR / Russia,51.09419225,59.84274653,Kazakh forest steppe,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Inner,Operating,1,2,2,0,4,0
225,Gunters_Space_Page,Europe,USSR / Russia,48.30378779,46.19966753,Pontic steppe,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Inner,Operating,1,2,2,0,3,0
188,Gunters_Space_Page,North America,Turks and Caicos Islands,21.44482647,-71.14338212,Bahamian pineyards,Tropical & Subtropical Coniferous Forests,TSCF,Nature Could Recover,Coastal,Operating,1,5,2,5,4,4
163,Gunters_Space_Page,Oceania,Guam,13.59681248,144.9023723,Marianas tropical dry forests,Tropical & Subtropical Dry Broadleaf Forests,TSDBF,Nature Could Reach Half Protected,Coastal,Operating,1,NA,NA,NA,NA,NA
94,Wikipedia,North America,United States,22.02278,-159.785,Hawai'i tropical low shrublands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TSGSS,Nature Imperiled,Coastal,Operating,1,1,1,5,5,0
102,Wikipedia,North America,United States,25.996,-97.154,Western Gulf coastal grasslands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TSGSS,Nature Imperiled,Coastal,Operating,1,3,2,5,3,1
105,Wikipedia,South America,Argentina,-30.12737,-66.34082,Dry Chaco,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TSGSS,Nature Could Reach Half Protected,Inner,Operating,1,2,1,0,2,2
125,Wikipedia,Oceania,Australia,-12.378021,136.821402,Arnhem Land tropical savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TSGSS,Nature Could Reach Half Protected,Coastal,Operating,1,4,4,5,2,0
141,Gunters_Space_Page,Oceania,Australia,-27.556056,151.797806,Brigalow tropical savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TSGSS,Nature Could Reach Half Protected,Inner,Operating,1,4,4,1,4,4
190,Gunters_Space_Page,Europe,UK,-7.9762401,-14.41423769,Ascension scrub and grasslands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TSGSS,Nature Imperiled,Coastal,Operating,1,NA,NA,NA,NA,NA
207,Gunters_Space_Page,North America,USA,21.98176221,-159.7593393,Hawai'i tropical low shrublands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TSGSS,Nature Imperiled,Coastal,Operating,1,1,1,5,5,0
213,Gunters_Space_Page,North America,USA,21.31141694,-157.9249989,Hawai'i tropical low shrublands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",TSGSS,Nature Imperiled,Coastal,Operating,1,1,1,5,5,0
13,Wikipedia,Asia,China,19.6144917,110.95113,South China-Vietnam subtropical evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Imperiled,Coastal,Operating,1,5,4,5,6,3
16,Wikipedia,Asia,India,8.542295528,76.86282646,Malabar Coast moist forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Imperiled,Coastal,Operating,1,5,5,5,6,4
19,Wikipedia,Asia,Indonesia,-7.646643,107.689018,Western Java rain forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Could Recover,Coastal,Operating,1,5,5,5,6,1
26,Wikipedia,Asia,Japan,30.39096,130.96813,Nansei Islands subtropical evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Could Reach Half Protected,Coastal,Operating,1,4,2,5,5,3
44,Wikipedia,Asia,"Taiwan,China",22.17489726,120.8925643,South Taiwan monsoon rain forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Could Reach Half Protected,Coastal,Operating,1,5,2,5,5,3
45,Wikipedia,Asia,"Taiwan,China",22.26203594,120.8901522,South Taiwan monsoon rain forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Could Reach Half Protected,Coastal,Operating,1,5,2,5,5,3
113,Wikipedia,South America,Brazil,-5.922619325,-35.16155403,Atlantic Coast restingas,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Could Recover,Coastal,Operating,1,4,2,5,4,0
126,Wikipedia,Oceania,Marshall Islands,9.048167,167.743083,Eastern Micronesia tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Imperiled,Coastal,Operating,1,NA,NA,NA,NA,NA
176,Gunters_Space_Page,Oceania,Marshall Islands,9.006416766,167.7269199,Eastern Micronesia tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Imperiled,Coastal,Operating,1,NA,NA,NA,NA,NA
177,Gunters_Space_Page,Oceania,Marshall Islands,9.40125304,167.4659126,Eastern Micronesia tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Imperiled,Coastal,Operating,1,NA,NA,NA,NA,NA
182,Gunters_Space_Page,North America,Puerto Rico,18.49147811,-67.14565599,Puerto Rican moist forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Could Reach Half Protected,Coastal,Operating,1,5,2,5,4,4
186,Gunters_Space_Page,Asia,Taiwan,22.67609916,120.4578462,Taiwan subtropical evergreen forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Could Reach Half Protected,Coastal,Operating,1,5,2,5,5,3
220,Gunters_Space_Page,North America,USA,19.27551645,166.6498447,Eastern Micronesia tropical moist forests,Tropical & Subtropical Moist Broadleaf Forests,TSMBF,Nature Imperiled,Coastal,Operating,1,NA,NA,NA,NA,NA
59,Wikipedia,Europe,Norway,78.2234,15.647,Russian Arctic desert,Tundra,T,Nature Could Reach Half Protected,Coastal,Operating,1,2,2,0,1,0
90,Wikipedia,North America,United States,65.12599,-147.47894,Interior Yukon-Alaska alpine tundra,Tundra,T,Nature Could Reach Half Protected,Inner,Operating,1,1,1,0,2,0
130,Gunters_Space_Page,Antarctica,Antarctica,-66.662889,140.003083,Adelie Land tundra,Tundra,T,Half Protected,Coastal,Operating,1,0,0,0,0,0
132,Gunters_Space_Page,Antarctica,Antarctica,-64.774278,-64.053833,Northwest Antarctic Peninsula tundra,Tundra,T,Half Protected,Coastal,Operating,1,1,0,0,1,0
134,Gunters_Space_Page,Antarctica,Antarctica,-67.568639,-68.124111,Northwest Antarctic Peninsula tundra,Tundra,T,Half Protected,Coastal,Operating,1,1,0,0,1,0
136,Gunters_Space_Page,Antarctica,Antarctica,-69.004194,39.580194,Enderby Land tundra,Tundra,T,Half Protected,Coastal,Operating,1,0,0,0,0,0
137,Gunters_Space_Page,Antarctica,Antarctica,-64.241111,-56.626667,Northeast Antarctic Peninsula tundra,Tundra,T,Half Protected,Coastal,Operating,1,1,0,0,1,0
162,Gunters_Space_Page,North America,Greenland,67.010556,-50.709167,Kalaallit Nunaat Arctic steppe,Tundra,T,Nature Could Reach Half Protected,Coastal,Operating,1,2,2,0,2,0
201,Gunters_Space_Page,North America,USA,64.79982228,-147.6333771,Alaska-St. Elias Range tundra,Tundra,T,Nature Could Reach Half Protected,Inner,Operating,1,1,1,0,2,0
212,Gunters_Space_Page,North America,USA,71.28534275,-156.7771164,Arctic coastal tundra,Tundra,T,Nature Could Reach Half Protected,Coastal,Operating,1,1,1,0,1,0
223,Gunters_Space_Page,Europe,USSR / Russia,80.44678701,58.05320843,Russian Arctic desert,Tundra,T,Nature Could Reach Half Protected,Coastal,Operating,1,1,1,0,1,0
224,Gunters_Space_Page,Europe,USSR / Russia,71.59090992,128.9102585,Taimyr-Central Siberian tundra,Tundra,T,Nature Could Reach Half Protected,Coastal,Operating,1,2,1,0,2,0
